# M34 S4 Metal Gear R#1 BL probe (scratchpad driver; recorded recipe: real BIOS
# cold boot + roms/metalgear.rom as Konami + tools/metalgear-m34-bl-transition-input.script, 4500 frames via the real frame loop)
# columns: event frame display_line old_bit6 new_bit6 r1_old r1_new elapsed_cycles
BL frame=126 line=0 old=0 new=1 r1_old=0x23 r1_new=0x63 cycles=7543232
BL frame=248 line=-69 old=1 new=0 r1_old=0x63 r1_new=0x20 cycles=14815752
BL frame=298 line=-69 old=0 new=1 r1_old=0x20 r1_new=0x60 cycles=17802716
BL frame=466 line=-69 old=1 new=0 r1_old=0x60 r1_new=0x20 cycles=27839402
BL frame=509 line=-69 old=0 new=1 r1_old=0x20 r1_new=0x60 cycles=30408226
BL frame=571 line=-69 old=1 new=0 r1_old=0x60 r1_new=0x20 cycles=34112262
BL frame=574 line=-49 old=0 new=1 r1_old=0x20 r1_new=0x60 cycles=34291420
BL frame=574 line=-12 old=1 new=0 r1_old=0x60 r1_new=0x20 cycles=34299854
BL frame=574 line=31 old=0 new=1 r1_old=0x20 r1_new=0x62 cycles=34309630
BL frame=575 line=10 old=1 new=0 r1_old=0x62 r1_new=0x22 cycles=34364551
BL frame=575 line=37 old=0 new=1 r1_old=0x22 r1_new=0x62 cycles=34370758
BL frame=575 line=51 old=1 new=0 r1_old=0x62 r1_new=0x22 cycles=34373907
BL frame=585 line=127 old=0 new=1 r1_old=0x22 r1_new=0x62 cycles=34988703
BL frame=599 line=-13 old=1 new=0 r1_old=0x62 r1_new=0x22 cycles=35793282
BL frame=599 line=84 old=0 new=1 r1_old=0x22 r1_new=0x62 cycles=35815371
BL frame=897 line=10 old=1 new=0 r1_old=0x62 r1_new=0x22 cycles=53601117
BL frame=897 line=37 old=0 new=1 r1_old=0x22 r1_new=0x62 cycles=53607324
BL frame=959 line=61 old=1 new=0 r1_old=0x62 r1_new=0x22 cycles=57316701
BL frame=1035 line=204 old=0 new=1 r1_old=0x22 r1_new=0x62 cycles=61889680
BL frame=1150 line=69 old=1 new=0 r1_old=0x62 r1_new=0x22 cycles=68729211
BL frame=1150 line=166 old=0 new=1 r1_old=0x22 r1_new=0x62 cycles=68751300
BL frame=1336 line=9 old=1 new=0 r1_old=0x62 r1_new=0x22 cycles=79827425
BL frame=1336 line=37 old=0 new=1 r1_old=0x22 r1_new=0x62 cycles=79833632
BL frame=1393 line=8 old=1 new=0 r1_old=0x62 r1_new=0x22 cycles=83232402
BL frame=1467 line=192 old=0 new=1 r1_old=0x22 r1_new=0x62 cycles=87695133
BL frame=2042 line=171 old=1 new=0 r1_old=0x62 r1_new=0x22 cycles=122043132
BL frame=2049 line=99 old=0 new=1 r1_old=0x22 r1_new=0x62 cycles=122444797
BL frame=3603 line=145 old=1 new=0 r1_old=0x62 r1_new=0x22 cycles=215293273
BL frame=3620 line=186 old=0 new=1 r1_old=0x22 r1_new=0x62 cycles=216318214
BL frame=4173 line=11 old=1 new=0 r1_old=0x62 r1_new=0x22 cycles=249316460
BL frame=4191 line=189 old=0 new=1 r1_old=0x22 r1_new=0x62 cycles=250432477
# total BL transitions: 31
